127.0.0.1 - - [06/Jun/2020:09:23:05 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:07 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:08 +0700] "GET /zio.com/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:08 +0700] "GET /zio.com/template/login/css/style.css HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:08 +0700] "GET /zio.com/template/login/css/bootstrap.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:09 +0700] "GET /zio.com/template/login/js/jquery.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:09 +0700] "GET /zio.com/template/login/js/bootstrap.js HTTP/1.1" 200 173324
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:23:11 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:03 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:04 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 10039
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:04 +0700] "GET /zio.com/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:04 +0700] "GET /zio.com/template/web/css/style.css HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:04 +0700] "GET /zio.com/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:04 +0700] "GET /zio.com/template/icon/kit.fontawesome.js HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/image?id=35 HTTP/1.1" 500 15929
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:05 +0700] "GET /zio.com/image?id=34 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [06/Jun/2020:09:24:11 +0700] "GET /zio.com/detail?id=54 HTTP/1.1" 200 8826
