127.0.0.1 - - [01/Jun/2020:20:38:52 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:38:54 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:38:55 +0700] "GET /zio.com/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:38:55 +0700] "GET /zio.com/template/login/css/style.css HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:38:55 +0700] "GET /zio.com/template/login/css/bootstrap.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:38:55 +0700] "GET /zio.com/template/login/js/jquery.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:38:55 +0700] "GET /zio.com/template/login/js/bootstrap.js HTTP/1.1" 200 173324
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:17 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:33 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:33 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 10039
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/template/web/css/style.css HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/template/icon/kit.fontawesome.js HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:34 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:35 +0700] "GET /zio.com/image?id=34 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:35 +0700] "GET /zio.com/image?id=35 HTTP/1.1" 500 15929
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:39 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:39 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:41 +0700] "GET /zio.com/dang-ki HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:43 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:47 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:48 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 9406
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:48 +0700] "GET /zio.com/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:48 +0700] "GET /zio.com/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:48 +0700] "GET /zio.com/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:48 +0700] "GET /zio.com/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [01/Jun/2020:20:39:48 +0700] "GET /zio.com/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
