127.0.0.1 - - [09/Jun/2020:13:06:57 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:01 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:02 +0700] "GET /zio.com/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:02 +0700] "GET /zio.com/template/login/css/bootstrap.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:02 +0700] "GET /zio.com/template/login/css/style.css HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:03 +0700] "GET /zio.com/template/login/js/jquery.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:03 +0700] "GET /zio.com/template/login/js/bootstrap.js HTTP/1.1" 200 173324
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:07:07 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:03 +0700] "GET /zio.com/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:08 +0700] "GET /zio.com/dang-ki HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:11 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:18 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 9406
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:19 +0700] "GET /zio.com/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:20 +0700] "GET /zio.com/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:27 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=4&sortName=id&sortBy=desc HTTP/1.1" 200 15595
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:27 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:27 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:27 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:27 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:49 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=4&sortName=id&sortBy=desc HTTP/1.1" 200 15595
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:49 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:49 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:49 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:49 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:51 +0700] "GET /zio.com/admin-slide-image HTTP/1.1" 200 11568
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:51 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:51 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:51 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:58 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:58 +0700] "GET /zio.com/admin-slide-image?message=success HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:58 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:58 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:08:58 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:00 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:00 +0700] "GET /zio.com/admin-slide-image?message=success HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:01 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:01 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:01 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:03 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:03 +0700] "GET /zio.com/admin-slide-image?message=success HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:03 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:03 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:03 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "GET /zio.com/admin-slide-image?message=success HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "GET /zio.com/admin-slide-image?message=success HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:08 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:10 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:10 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:14 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:15 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:15 +0700] "GET /zio.com/template/web/css/style.css HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:15 +0700] "GET /zio.com/template/icon/kit.fontawesome.js HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:16 +0700] "GET /zio.com/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:16 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 281434
0:0:0:0:0:0:0:1 - - [09/Jun/2020:13:09:16 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
