0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:08 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:08 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:10 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11592
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:10 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:14 +0700] "GET /zio.com/admin-product?type=edit HTTP/1.1" 200 14599
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:14 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:35 +0700] "POST /zio.com/api-admin-product HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:37 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:37 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 12201
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:37 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:37 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:37 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:13:10 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 12201
0:0:0:0:0:0:0:1 - - [09/May/2020:08:13:10 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:13:10 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:13:11 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 200 7743124
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:32 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 12249
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:32 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:32 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:32 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:40 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:40 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:44 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:45 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 6891
0:0:0:0:0:0:0:1 - - [09/May/2020:08:14:45 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:10 +0700] "GET /zio.com/detail?id=35 HTTP/1.1" 200 8671
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:10 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 304 -
