0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:39 +0700] "PUT /zio.com/api-cart HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:40 +0700] "PUT /zio.com/api-cart HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:43 +0700] "GET /zio.com/cart HTTP/1.1" 200 15931
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:43 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:43 +0700] "GET /zio.com/cart HTTP/1.1" 200 15931
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:43 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:46 +0700] "GET /zio.com/list-bill HTTP/1.1" 200 6371
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:46 +0700] "GET /zio.com/cart HTTP/1.1" 200 15931
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:46 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:59 +0700] "PUT /zio.com/api-cart HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:47:07 +0700] "POST /zio.com/api-QH HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:47:12 +0700] "POST /zio.com/api-XPTT HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:47:18 +0700] "POST /zio.com/api-QH HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:39 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:39 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:44 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
